First Name,Last Name,Mobile Number,Address,Postal Code,Birth Date(Y-m-d),Gender,Customer Group,Verified Customer(1/0)
John,Jonas,2857620232,Ahmedabad,380015,1990-12-12,Male,Electrician,1
John,Jonas,2857620233,Ahmedabad,380016,1990-12-13,Male,Electrician,2
John,Jonas,2857620234,Ahmedabad,380017,1990-12-14,Male,Electrician,3
John,Jonas,2857620235,Ahmedabad,380018,1990-12-15,Male,Electrician,4
John,Jonas,2857620236,Ahmedabad,380019,1990-12-16,Male,Electrician,5
John,Jonas,2857620237,Ahmedabad,380020,1990-12-17,Male,Electrician,6
John,Jonas,2857620238,Ahmedabad,380021,1990-12-18,Male,Electrician,7
John,Jonas,2857620239,Ahmedabad,380022,1990-12-19,Male,Electrician,8
John,Jonas,2857620240,Ahmedabad,380023,1990-12-20,Male,Electrician,9
John,Jonas,2857620241,Ahmedabad,380024,1990-12-21,Male,Electrician,10
John,Jonas,2857620242,Ahmedabad,380025,1990-12-22,Male,Electrician,11
John,Jonas,2857620243,Ahmedabad,380026,1990-12-23,Male,Electrician,12
John,Jonas,2857620244,Ahmedabad,380027,1990-12-24,Male,Electrician,13
John,Jonas,2857620245,Ahmedabad,380028,1990-12-25,Male,Electrician,14
John,Jonas,2857620246,Ahmedabad,380029,1990-12-26,Male,Electrician,15
John,Jonas,2857620247,Ahmedabad,380030,1990-12-27,Male,Electrician,16
John,Jonas,2857620248,Ahmedabad,380031,1990-12-28,Male,Electrician,17
John,Jonas,2857620249,Ahmedabad,380032,1990-12-29,Male,Electrician,18
John,Jonas,2857620250,Ahmedabad,380033,1990-12-30,Male,Electrician,19
John,Jonas,2857620251,Ahmedabad,380034,1990-12-31,Male,Electrician,20
John,Jonas,2857620252,Ahmedabad,380035,1991-01-01,Male,Electrician,21
John,Jonas,2857620253,Ahmedabad,380036,1991-01-02,Male,Electrician,22
John,Jonas,2857620254,Ahmedabad,380037,1991-01-03,Male,Electrician,23
John,Jonas,2857620255,Ahmedabad,380038,1991-01-04,Male,Electrician,24
John,Jonas,2857620256,Ahmedabad,380039,1991-01-05,Male,Electrician,25
John,Jonas,2857620257,Ahmedabad,380040,1991-01-06,Male,Electrician,26
John,Jonas,2857620258,Ahmedabad,380041,1991-01-07,Male,Electrician,27
John,Jonas,2857620259,Ahmedabad,380042,1991-01-08,Male,Electrician,28
John,Jonas,2857620260,Ahmedabad,380043,1991-01-09,Male,Electrician,29
John,Jonas,2857620261,Ahmedabad,380044,1991-01-10,Male,Electrician,30
John,Jonas,2857620262,Ahmedabad,380045,1991-01-11,Male,Electrician,31
John,Jonas,2857620263,Ahmedabad,380046,1991-01-12,Male,Electrician,32
John,Jonas,2857620264,Ahmedabad,380047,1991-01-13,Male,Electrician,33
John,Jonas,2857620265,Ahmedabad,380048,1991-01-14,Male,Electrician,34
John,Jonas,2857620266,Ahmedabad,380049,1991-01-15,Male,Electrician,35
John,Jonas,2857620267,Ahmedabad,380050,1991-01-16,Male,Electrician,36
John,Jonas,2857620268,Ahmedabad,380051,1991-01-17,Male,Electrician,37
John,Jonas,2857620269,Ahmedabad,380052,1991-01-18,Male,Electrician,38
John,Jonas,2857620270,Ahmedabad,380053,1991-01-19,Male,Electrician,39
John,Jonas,2857620271,Ahmedabad,380054,1991-01-20,Male,Electrician,40
John,Jonas,2857620272,Ahmedabad,380055,1991-01-21,Male,Electrician,41
John,Jonas,2857620273,Ahmedabad,380056,1991-01-22,Male,Electrician,42
John,Jonas,2857620274,Ahmedabad,380057,1991-01-23,Male,Electrician,43
John,Jonas,2857620275,Ahmedabad,380058,1991-01-24,Male,Electrician,44
John,Jonas,2857620276,Ahmedabad,380059,1991-01-25,Male,Electrician,45
John,Jonas,2857620277,Ahmedabad,380060,1991-01-26,Male,Electrician,46
John,Jonas,2857620278,Ahmedabad,380061,1991-01-27,Male,Electrician,47
John,Jonas,2857620279,Ahmedabad,380062,1991-01-28,Male,Electrician,48
John,Jonas,2857620280,Ahmedabad,380063,1991-01-29,Male,Electrician,49
